id,date,weekday,description
677,2022-11-08,周二,工作日
678,2022-11-09,周三,工作日
679,2022-11-10,周四,工作日
680,2022-11-11,周五,工作日
681,2022-11-12,周六,周末
682,2022-11-13,周日,周末
683,2022-11-14,周一,工作日
684,2022-11-15,周二,工作日
685,2022-11-16,周三,工作日
686,2022-11-17,周四,工作日
687,2022-11-18,周五,工作日
688,2022-11-19,周六,周末
689,2022-11-20,周日,周末
690,2022-11-21,周一,工作日
691,2022-11-22,周二,工作日
692,2022-11-23,周三,工作日
693,2022-11-24,周四,工作日
694,2022-11-25,周五,工作日
695,2022-11-26,周六,周末
696,2022-11-27,周日,周末
697,2022-11-28,周一,工作日
698,2022-11-29,周二,工作日
699,2022-11-30,周三,工作日
700,2022-12-01,周四,工作日
701,2022-12-02,周五,工作日
702,2022-12-03,周六,周末
703,2022-12-04,周日,周末
704,2022-12-05,周一,工作日
705,2022-12-06,周二,工作日
706,2022-12-07,周三,工作日
707,2022-12-08,周四,工作日
708,2022-12-09,周五,工作日
709,2022-12-10,周六,周末
710,2022-12-11,周日,周末
711,2022-12-12,周一,工作日
712,2022-12-13,周二,工作日
713,2022-12-14,周三,工作日
714,2022-12-15,周四,工作日
715,2022-12-16,周五,工作日
716,2022-12-17,周六,周末
717,2022-12-18,周日,周末
718,2022-12-19,周一,工作日
719,2022-12-20,周二,工作日
720,2022-12-21,周三,工作日
721,2022-12-22,周四,工作日
722,2022-12-23,周五,工作日
723,2022-12-24,周六,周末
724,2022-12-25,周日,周末
725,2022-12-26,周一,工作日
726,2022-12-27,周二,工作日
727,2022-12-28,周三,工作日
728,2022-12-29,周四,工作日
729,2022-12-30,周五,工作日
730,2022-12-31,周六,元旦
731,2023-01-01,周日,元旦
732,2023-01-02,周一,元旦
733,2023-01-03,周二,工作日
734,2023-01-04,周三,工作日
735,2023-01-05,周四,工作日
736,2023-01-06,周五,工作日
737,2023-01-07,周六,周末
738,2023-01-08,周日,周末
739,2023-01-09,周一,工作日
740,2023-01-10,周二,工作日
741,2023-01-11,周三,工作日
742,2023-01-12,周四,工作日
743,2023-01-13,周五,工作日
744,2023-01-14,周六,周末
745,2023-01-15,周日,周末
746,2023-01-16,周一,工作日
747,2023-01-17,周二,工作日
748,2023-01-18,周三,工作日
749,2023-01-19,周四,工作日
750,2023-01-20,周五,工作日
751,2023-01-21,周六,春节
752,2023-01-22,周日,春节
753,2023-01-23,周一,春节
754,2023-01-24,周二,春节
755,2023-01-25,周三,春节
756,2023-01-26,周四,春节
757,2023-01-27,周五,春节
758,2023-01-28,周六,春节
759,2023-01-29,周日,春节
760,2023-01-30,周一,工作日
761,2023-01-31,周二,工作日
762,2023-02-01,周三,工作日
763,2023-02-02,周四,工作日
764,2023-02-03,周五,工作日
765,2023-02-04,周六,周末
766,2023-02-05,周日,周末
767,2023-02-06,周一,工作日
768,2023-02-07,周二,工作日
769,2023-02-08,周三,工作日
770,2023-02-09,周四,工作日
771,2023-02-10,周五,工作日
772,2023-02-11,周六,周末
773,2023-02-12,周日,周末
774,2023-02-13,周一,工作日
775,2023-02-14,周二,工作日
776,2023-02-15,周三,工作日
777,2023-02-16,周四,工作日
778,2023-02-17,周五,工作日
779,2023-02-18,周六,周末
780,2023-02-19,周日,周末
781,2023-02-20,周一,工作日
782,2023-02-21,周二,工作日
783,2023-02-22,周三,工作日
784,2023-02-23,周四,工作日
785,2023-02-24,周五,工作日
786,2023-02-25,周六,周末
787,2023-02-26,周日,周末
788,2023-02-27,周一,工作日
789,2023-02-28,周二,工作日
790,2023-03-01,周三,工作日
791,2023-03-02,周四,工作日
792,2023-03-03,周五,工作日
793,2023-03-04,周六,周末
794,2023-03-05,周日,周末
795,2023-03-06,周一,工作日
796,2023-03-07,周二,工作日
797,2023-03-08,周三,"工作日,妇女节"
798,2023-03-09,周四,工作日
799,2023-03-10,周五,工作日
800,2023-03-11,周六,周末
801,2023-03-12,周日,周末
802,2023-03-13,周一,工作日
803,2023-03-14,周二,工作日
804,2023-03-15,周三,工作日
805,2023-03-16,周四,工作日
806,2023-03-17,周五,工作日
807,2023-03-18,周六,周末
808,2023-03-19,周日,周末
809,2023-03-20,周一,工作日
810,2023-03-21,周二,工作日
811,2023-03-22,周三,工作日
812,2023-03-23,周四,工作日
813,2023-03-24,周五,工作日
814,2023-03-25,周六,周末
815,2023-03-26,周日,周末
816,2023-03-27,周一,工作日
817,2023-03-28,周二,工作日
818,2023-03-29,周三,工作日
819,2023-03-30,周四,工作日
820,2023-03-31,周五,工作日
821,2023-04-01,周六,周末
822,2023-04-02,周日,周末
823,2023-04-03,周一,工作日
824,2023-04-04,周二,工作日
825,2023-04-05,周三,清明节
826,2023-04-06,周四,工作日
827,2023-04-07,周五,工作日
828,2023-04-08,周六,周末
829,2023-04-09,周日,周末
830,2023-04-10,周一,工作日
831,2023-04-11,周二,工作日
832,2023-04-12,周三,工作日
833,2023-04-13,周四,工作日
834,2023-04-14,周五,工作日
835,2023-04-15,周六,周末
836,2023-04-16,周日,周末
837,2023-04-17,周一,工作日
838,2023-04-18,周二,工作日
839,2023-04-19,周三,工作日
840,2023-04-20,周四,工作日
841,2023-04-21,周五,工作日
842,2023-04-22,周六,周末
843,2023-04-23,周日,劳动节
844,2023-04-24,周一,工作日
845,2023-04-25,周二,工作日
846,2023-04-26,周三,工作日
847,2023-04-27,周四,工作日
848,2023-04-28,周五,工作日
849,2023-04-29,周六,劳动节
850,2023-04-30,周日,劳动节
851,2023-05-01,周一,劳动节
852,2023-05-02,周二,劳动节
853,2023-05-03,周三,劳动节
854,2023-05-04,周四,工作日
855,2023-05-05,周五,工作日
856,2023-05-06,周六,劳动节
857,2023-05-07,周日,周末
858,2023-05-08,周一,工作日
859,2023-05-09,周二,工作日
860,2023-05-10,周三,工作日
861,2023-05-11,周四,工作日
862,2023-05-12,周五,工作日
863,2023-05-13,周六,周末
864,2023-05-14,周日,周末
865,2023-05-15,周一,工作日
866,2023-05-16,周二,工作日
867,2023-05-17,周三,工作日
868,2023-05-18,周四,工作日
869,2023-05-19,周五,工作日
870,2023-05-20,周六,周末
871,2023-05-21,周日,周末
872,2023-05-22,周一,工作日
873,2023-05-23,周二,工作日
874,2023-05-24,周三,工作日
875,2023-05-25,周四,工作日
876,2023-05-26,周五,工作日
877,2023-05-27,周六,周末
878,2023-05-28,周日,周末
879,2023-05-29,周一,工作日
